artist,author,gernes,heart,name,star,view,words
None,안경원숭이,"Comedy,Fantasy,Isekai,Korean Novel,Shoujo,Web Novel", 183 ,Em Gái của Nhân Vật Chính,4.6,20103,7918
Hiten,Saginomiya Misaki,"Drama,Romance,School Life", 143 ,Dokusha (boku) to Shujinkou (kanojo) to Futari no Korekara,4.9,13983,14959
"Futaba Hazuki, 双葉はづき","Reia, 澪亜","Drama,Fantasy,Shoujo,Slice of Life,Web Novel", 280 ,Koushaku Reijou no Tashinami,4.2,58190,24350
Buriki,Rakuda,"Comedy,Drama,Harem,Romance,School Life", 248 ,Ore wo Suki Nano wa Omae Dake ka yo,4.8,44832,7160
Kodama Yuu,Sorano Kazuki,"Adventure,Comedy,Fantasy,School Life,Romance", 782 ,Isekai Quest After School!,4.9,91515,34685
Fal Maro,Ishinomiya Kanto,"Adventure,Fantasy,Harem,Psychological,Science Fiction,Slice of Life,Supernatural", 1358 ,The Magus of Genesis,4.9,341263,168284
Sakana,Nyun,"Comedy,Fantasy,School Life,Isekai", 559 ,"ISEKAI NI TENSEI SHITANDAKEDO ORE, TENSAI TTE KANCHIGAI SARETENAI ?",4.9,129763,110129
None,철종금 / Cheol Jonggeum,"Action,Fantasy,Super Power,Supernatural,Korean Novel", 396 ,I AM THE MONARCH,4.9,105222,46592
Asagi Tohsaka,Sasaki Sakuma,"Action,Adventure,Comedy,Ecchi,Fantasy,Harem,Romance,Adapted to Manga", 507 ,Megami no Yuusha wo Taosu Gesu na Houhou,4.9,68371,48244
None,吕天逸,"Psychological,Supernatural,Web Novel", 38 ,The Last Man on Earth,4.8,11213,975
None,六志麻あさ,"Action,Adventure,Drama,Fantasy,Isekai,Magic,Netorare", 620 ,"Koibito wo Netorare, Yuusha Party kara Tsuihou sa Retakedo, EX Skill [Fixed Damage] ni Mezamete Muteki no Sonzai ni",4.8,71028,7551
