artist,author,gernes,heart,name,star,view,words
None,Kuro Inukami (黒犬神),"Adventure,Comedy,Fantasy,Harem,Shoujo,Shoujo ai,Web Novel", 171 ,Yuusha Ga Onna Da to Dame Desu Ka?,5,26610,5699
None,九頭七尾,"Action,Comedy,Fantasy,One shot,Supernatural,Web Novel", 35 ,"Because My Toilet Turned Into a Dungeon, Taking Care of My Business Has Become too Difficult",4.8,17491,1995
Sakana,Nyun,"Comedy,Fantasy,School Life", 436 ,"Isekai ni Tensei Shitandakedo Ore, Tensai tte Kanchigai Saretenai ?",4.5,94182,30631
None,Nam Hi-sung,"Action,Adventure,Comedy,Drama,Fantasy,School Life,Science Fiction,Romance", 1105 ,Legendary Moonlight Sculptor,4.9,2444172,2725961
UNKNOWN,とりまる,"Adventure,Ecchi,Fantasy,Gender Bender,Mature", 137 ,Elf-san with Master,4.3,22220,1646
None,しっちぃ,"Shoujo ai,Slice of Life", 105 ,Me and my beloved cat (girlfriend),3.8,20331,9279
Manyako,Gakuto Mikumo,"Action,Comedy,Fantasy", 334 ,Strike the Blood,4.9,114393,385477
Gia,Sakamoto 666,"Action,Adventure,Drama,Fantasy,Horror,Mature,Psychological,Supernatural,Tragedy", 439 ,The Dungeon Seeker,4.7,88376,96614
Eiri Shirai,Ao Jyumonji,"Action,Adventure,Drama,Fantasy,Romance,Tragedy", 383 ,Hai to Gensou no Grimgar,5,97161,97969
Yoshizawa Megane,EKZ,"Action,Ecchi,Fantasy,Harem", 477 ,Himekishi ga classmate,5,75659,71065
Fuji Mitsuya,Katana,"Fantasy,Romance,Shoujo", 100 ,Watashi wa Teki ni Narimasen!,3.8,11344,4616
Unknown,Unknown,"Action,Adult,Comedy,Ecchi,Gender Bender,Mature,School Life", 201 ,I Awoke to Find I Was the Girl Swordsman That Protects My Cousin,4.9,41641,2746
Bun150,Akashi Kakkaku,"Action,Comedy,Fantasy,Harem,Romance,Shounen", 268 ,Bu ni Mi wo Sasagete Hyaku to Yonen. Elf de Yarinaosu Musha Shugyou,4.3,36409,34339
Hatsuko,"Kemu Voxx, Kimoto Masahiko","Drama,Mystery,Shounen", 158 ,Rokuchounen to Ichiya Monogatari,4.9,19635,5877
