artist,author,gernes,heart,name,star,view,words
None,ONHU - 온후,"Action,Adventure,Fantasy,Mature,Supernatural", 69 ,THE KING OF THE BATTLEFIELD,5,11789,3317
None,Toika,"Action,Comedy,Fantasy,Harem,Isekai,Romance,Super Power", 62 ,Infinite Competitive Dungeon Society,5,18400,9780
Tsunako,Tachibana Koushi,"Comedy,Harem,School Life,Science Fiction,Romance,Action,Ecchi,Fantasy", 1146 ,Date A Live,4.9,877973,706851
Bun150,Akashi Kakkaku,"Action,Adventure,Comedy,Drama,Harem,Romance,School Life,Shounen", 247 ,Bu ni Mi wo Sasagete Hyaku to Yonen. Elf de Yarinaosu Musha Shugyou,5,34773,46701
None,Chwiryong,"Action,Adventure,Drama,Fantasy,Harem,Mystery,Psychological,Romance,Supernatural", 209 ,Breakers,4,30450,15031
None,Idle Fish Goes Ashore,"Adventure,Fantasy,Harem,Romance,School Life,Supernatural", 86 ,NEET Receives a Dating Sim Game Leveling System,5,18595,13683
None,로드워리어 (Road Warrior),"Action,Adventure,Fantasy,Mature,Mystery,Super Power,Tragedy", 199 ,Main Character Hides His Strength,5,44495,35940
None,Touzai Tasuke,"Adult,Ecchi,Mature,Supernatural,Incest,One shot", 599 ,"Triệu hồi succubus, em gái tôi xuất hiện!",5,80744,7132
None,YOSHIOKA TSUYOSHI,"Action,Adventure,Fantasy,Romance,School Life,Shounen", 349 ,Magi's grandson,4.9,36150,31947
Yukino Amagai,Kasa Sakaki,"Action,Adventure,Comedy,Ecchi,Gender Bender,Harem,Mature,Romance,School Life,Supernatural", 334 ,Adolescent Adam,4.1,84292,42899
Luna,Mishima Yomu,"Action,Adventure,Fantasy,Harem", 642 ,Dragoon,4.7,290077,83432
Sazanami Mio,Kon Hoshizaki,"Adventure,Fantasy,Harem,Isekai,Web Novel", 237 ,Netooku Otoko no Tanoshii Isekai Boueki,5,25376,17341
None,철종금 / Cheol Jonggeum,"Action,Adventure,Drama,Fantasy,Psychological,Supernatural,Isekai,Web Novel", 282 ,I am the Monarch,4.8,109634,34921
KeG,Kurokata;くろかた,"Action,Adventure,Comedy,Fantasy,Harem", 144 ,Chiyu Mahou no Machigatta Tsukaikata ~Senjou wo Kakeru Kaifuku Youin~,5,26208,24123
Zaza,Kenji Saitou,"Action,Fantasy,Romance,Supernatural", 236 ,99th vampire princess ~The last vampire~,4.8,21991,7532
Kumoya Yukio,"Dimsum, Sancha","Comedy,Romance,School Life,Shoujo,Supernatural", 79 ,Konyaku-sha ga Akuyaku de Komatte masu,5,10128,3668
Fal Maro,Yukidaruma,"Action,Adventure,Comedy,Drama,Ecchi,Fantasy,Harem,Isekai,Mature,Psychological,Romance,Slice of Life,Web Novel", 249 ,Hisshou Dungeon Unei Houhou,4.7,39870,34881
"Ririnra, りりんら.",Roy,"Action,Fantasy,Romance,Shounen,Slice of Life,Web Novel", 124 ,KAMITACHI NI HIROWARETA OTOKO,4.8,27408,12694
None,Dokonjō Daikon,"Drama,Isekai,Josei,Tragedy,Otome Game", 90 ,"Otome Game ni Tensei Shita ga, Watashi wa Akuyaku ni Nari Sugita",4.9,24176,1980
